page_path,page_title,original_video_title_or_filename,youtube_search_query,candidate_title,candidate_url,candidate_channel,candidate_duration,original_mp4_url
/chao-mung-ngay-phap-luan-dai-phap-the-gioi-13-5-2021/,Chào mừng ngày Pháp Luân Đại Pháp thế giới 13-5-2021,pldp2,Chào mừng ngày Pháp Luân Đại Pháp thế giới 13-5-2021,Nhóm nhỏ học viên Sài Gòn mừng ngày Pháp Luân Đại Pháp thế giới 13-5 -2021,https://www.youtube.com/watch?v=aaudwjLOLKM,Chân Tướng,628.0,https://dieukydieu.tv/wp-content/uploads/2021/05/pldp2.mp4
/chuong-trinh-ky-niem-ngay-phap-luan-dai-phap-tai-ha-noi-13-5-2018/,Chương trình kỷ niệm ngày Pháp Luân Đại Pháp tại Hà Nội 13/5/2018,ki niem 13 5,ki niem 13 5 Pháp Luân Công,Chương trình biểu diễn nghệ thuật kỷ niệm ngày Pháp Luân Đại Pháp thế giới 13 5,https://www.youtube.com/watch?v=zvChzSHX5QA,Hùng Phan Official (Chân-Thiện-Nhẫn-Hảo),437.0,https://dieukydieu.tv/wp-content/uploads/2020/video/ki-niem-13-5.mp4
/covid-19-chia-se-cua-bac-si-vien-phoi/,Covid-19: Chia sẻ của bác sĩ viện phổi,covid,Covid-19: Chia sẻ của bác sĩ viện phổi Pháp Luân Công,Điều trị COVID-19 và di chứng phổi sau COVID-19 - Phần thảo luận,https://www.youtube.com/watch?v=Oh8e5Zi2dAw,Hội Hô hấp Việt Nam Official,3076.0,https://dieukydieu.tv/wp-content/uploads/2020/04/covid.mp4
/da-nang-phap-luan-dai-phap-hong-truyen/,Đà Nẵng Pháp Luân Đại Pháp Hồng Truyền,da nang,da nang Pháp Luân Công,Pháp Luân Công tại Đà Nẵng - Ý nghĩa nhân sinh của đời người,https://www.youtube.com/watch?v=DMAdhTcayYI,Info Falun Dafa,529.0,https://dieukydieu.tv/wp-content/uploads/2020/video/da-nang.mp4
/dai-phap-hong-truyen-gioi-thieu-phap-luan-cong/,Đại Pháp Hồng Truyền – Giới thiệu Pháp Luân Công,dai phap hong truyen,dai phap hong truyen Pháp Luân Công,PHÁP LUÂN ĐẠI PHÁP NGHĨA GIẢI,https://www.youtube.com/watch?v=h-4xwW85ciw,HỒNG TRUYỀN ĐẠI PHÁP,16648.0,https://dieukydieu.tv/wp-content/uploads/2020/video/dai-phap-hong-truyen.mp4
/de-sinh-menh-duoc-cam-thu/,Để sinh mệnh được cảm thụ,de sinh menh dc cam thu,de sinh menh dc cam thu Pháp Luân Công,"Tự khúc: Để sinh mệnh được cảm thụ, mục đích làm người [Lời Việt]",https://www.youtube.com/watch?v=eKVrjXJ0Wdw,Bách Thông,229.0,https://dieukydieu.tv/wp-content/uploads/2020/05/de-sinh-menh-dc-cam-thu.mp4
/de-tu-dai-phap-viet-nam-chuc-tet-su-phu/,Đệ tử Đại Pháp Việt Nam chúc tết Sư Phụ,Đệ tử Đại Pháp Việt Nam chúc tết Sư Phụ,Đệ tử Đại Pháp Việt Nam chúc tết Sư Phụ Pháp Luân Công,Bài hát: Chúc tết Sư Phụ - tiểu đệ tử Đại Pháp Nam Định,https://www.youtube.com/watch?v=2mvqKkJkX0I,Bách Thông,173.0,https://dieukydieu.tv/wp-content/uploads/2025/04/%C4%90%E1%BB%87-t%E1%BB%AD-%C4%90%E1%BA%A1i-Ph%C3%A1p-Vi%E1%BB%87t-Nam-ch%C3%BAc-t%E1%BA%BFt-S%C6%B0-Ph%E1%BB%A5.mp4
/de-tu-viet-nam-mung-ngay-phap-luan-dai-phap-the-gioi-13-5-2020/,Học viên Việt Nam mừng ngày Pháp Luân Đại Pháp thế giới 13-5-2020,15 05 2,15 05 2 Pháp Luân Công,Pháp Luân Công 5 Bài Tập Luyện Hàng Ngày Nâng Cao Sức Khỏe,https://www.youtube.com/watch?v=uDCEq4DrsPM,Duong Le,2754.0,https://dieukydieu.tv/wp-content/uploads/2020/05/15-05-2.mp4
/dieu-gi-khien-mot-bac-si-tay-y-tin-vao-phap-luan-cong/,Điều gì khiến một bác sĩ Tây y tin vào Pháp Luân Công?,Dieu gi khien mot bac si Tay y tin vao Phap Luan Cong,Dieu gi khien mot bac si Tay y tin vao Phap Luan Cong,Điều gì khiến một bác sĩ Tây y tin vào Pháp Luân Công,https://www.youtube.com/watch?v=yTQGqJPlxpA,Pháp Luân Công – Góc nhìn đa chiều,431.0,https://dieukydieu.tv/wp-content/uploads/2020/video/Dieu-gi-khien-mot-bac-si-Tay-y-tin-vao-Phap-Luan-Cong.mp4
/dieu-ky-dieu-tai-thanh-pho-bien-vung-tau/,Điều kỳ diệu tại thành phố biển Vũng Tàu,vung tau,vung tau Pháp Luân Công,Pháp Luân Công: Chia sẻ của những học viên tại Vũng Tàu về tu luyện,https://www.youtube.com/watch?v=1-ioew-vc0E,Khoa học và Tu luyện,620.0,https://dieukydieu.tv/wp-content/uploads/2020/video/vung-tau.mp4
/dieu-uoc-cua-boi-boi/,Điều ước của Bối Bối,Điều ước của Bối Bối1,Điều ước của Bối Bối1 Pháp Luân Công,Kho Sách Nói Channel | Đá Cuội Hay Kim Cương - Những Bài Học Tự Khẳng Định Bản Thân | Dale Carnegie,https://www.youtube.com/watch?v=s4qlni6a8S4,Kho Sách Nói Channel,16808.0,https://dieukydieu.tv/wp-content/uploads/2022/07/y2meta.com-%C4%90i%E1%BB%81u-%C6%B0%E1%BB%9Bc-c%E1%BB%A7a-B%E1%BB%91i-B%E1%BB%91i1.mp4
/doan-dieu-hanh-gan-10-000-hoc-vien-phap-luan-cong-lam-xuc-dong-nguoi-dan-new-york-vao-ngay-16-5-2019/,Đoàn diễu hành gần 10 000 học viên Pháp Luân Công làm xúc động người dân New York vào ngày 16/5/2019,doan dieu hanh 1000 nguoi,doan dieu hanh 1000 nguoi Pháp Luân Công,Pháp Luân Công 5 Bài Tập Luyện Hàng Ngày Nâng Cao Sức Khỏe,https://www.youtube.com/watch?v=uDCEq4DrsPM,Duong Le,2754.0,https://dieukydieu.tv/wp-content/uploads/2020/video/doan-dieu-hanh-1000-nguoi.mp4
/giao-su-tien-sy-y-hoc-chia-se-cach-bao-ve-suc-khoe-truoc-dich-benh/,Giáo sư – Tiến sỹ Y học chia sẻ cách bảo vệ sức khoẻ trước dịch bệnh,vacsin,Giáo sư – Tiến sỹ Y học chia sẻ cách bảo vệ sức khoẻ trước dịch bệnh Pháp Luân Công,Giáo sư - Tiến sỹ Y học chia sẻ cách bảo vệ sức khoẻ trước dịch bệnh,https://www.youtube.com/watch?v=64jur0QY58I,Kỷ Nguyên Mới,458.0,https://dieukydieu.tv/wp-content/uploads/2020/03/vacsin.mp4
/gioi-thieu-phap-luan-cong/,Giới thiệu Pháp Luân Công,gioi thieu phap luan cong,gioi thieu phap luan cong,Pháp Luân Công: #1. Giới thiệu Pháp Luân Đại Pháp,https://www.youtube.com/watch?v=pMVrVD5Hq_s,Dafa Great,396.0,https://dieukydieu.tv/wp-content/uploads/2020/video/gioi-thieu-phap-luan-cong.mp4
/hanh-trinh-tim-kiem-thien-co-ky-thu/,Hành trình tìm kiếm Thiên Cổ Kỳ Thư,thien co ky thu,thien co ky thu Pháp Luân Công,"Pháp Luân Công: Hành trình tìm kiếm ""Thiên cổ kỳ thư""",https://www.youtube.com/watch?v=z21Mg8khzDI,Khoa học và Tu luyện,599.0,https://dieukydieu.tv/wp-content/uploads/2020/04/thien-co-ky-thu.mp4
