page_path,page_title,original_video_title_or_filename,original_mp4_url,youtube_search_query,replacement_youtube_url,candidate_rank,candidate_title,candidate_url,candidate_channel,candidate_duration,candidate_notes
/5-bai-tap-phap-luan-cong/,Hướng dẫn tập 5 bài tập Pháp Luân Công chuẩn,huong dan tap phap luan cong,https://media.dieukydieu.tv/videos/original/huong-dan-tap-phap-luan-cong.mp4,huong dan tap phap luan cong,,1,Pháp Luân Công 5 Bài Tập Luyện Hàng Ngày Nâng Cao Sức Khỏe,https://www.youtube.com/watch?v=uDCEq4DrsPM,Duong Le,2754.0,
/5-bai-tap-phap-luan-cong/,Hướng dẫn tập 5 bài tập Pháp Luân Công chuẩn,huong dan tap phap luan cong,https://media.dieukydieu.tv/videos/original/huong-dan-tap-phap-luan-cong.mp4,huong dan tap phap luan cong,,2,Pháp luân công - Cách tập các động tác và cách hít thở Bài 1,https://www.youtube.com/watch?v=JBR3BRLpJ04,Art & Life Media VN,447.0,
/5-bai-tap-phap-luan-cong/,Hướng dẫn tập 5 bài tập Pháp Luân Công chuẩn,huong dan tap phap luan cong,https://media.dieukydieu.tv/videos/original/huong-dan-tap-phap-luan-cong.mp4,huong dan tap phap luan cong,,3,Pháp Luân Công - 5 Bài tập hoàn chỉnh 38 phút,https://www.youtube.com/watch?v=NYEARJlDEYc,Art & Life Media VN,2334.0,
/an-giang-mien-tay-que-toi/,An Giang! Miền tây quê tôi,an giang,https://media.dieukydieu.tv/videos/original/an-giang.mp4,an giang Pháp Luân Công,,1,Tóm tắt nhanh về Pháp Luân Công trong 5 phút,https://www.youtube.com/watch?v=rCEitbeDUH0,KIẾN THỨC THÚ VỊ Official,332.0,
/an-giang-mien-tay-que-toi/,An Giang! Miền tây quê tôi,an giang,https://media.dieukydieu.tv/videos/original/an-giang.mp4,an giang Pháp Luân Công,,2,Pháp Luân Công-bài giảng số 1  Sư Phụ Lý Hồng Chí,https://www.youtube.com/watch?v=2sSNTkgpkUg, 真 善 忍 © Chân Thiện Nhẫn,6381.0,
/an-giang-mien-tay-que-toi/,An Giang! Miền tây quê tôi,an giang,https://media.dieukydieu.tv/videos/original/an-giang.mp4,an giang Pháp Luân Công,,3,Pháp Luân Công-bài giảng số 3  Sư Phụ Lý Hồng Chí,https://www.youtube.com/watch?v=C3vAF2lo1Os, 真 善 忍 © Chân Thiện Nhẫn,5740.0,
/bai-hat-tro-ve-co-huong-mien-dat-tinh-tho/,Bài hát: Trở về Cố Hương – miền đất tịnh thổ,tro ve co huong,https://media.dieukydieu.tv/videos/original/tro-ve-co-huong.mp4,tro ve co huong Pháp Luân Công,,1,MV sân khấu: TRỞ VỀ CỐ HƯƠNG || Liên Tịnh,https://www.youtube.com/watch?v=EPo6jRil4Gk,Bách Thông,257.0,
/bai-hat-tro-ve-co-huong-mien-dat-tinh-tho/,Bài hát: Trở về Cố Hương – miền đất tịnh thổ,tro ve co huong,https://media.dieukydieu.tv/videos/original/tro-ve-co-huong.mp4,tro ve co huong Pháp Luân Công,,2,Bài hát: Trở về Cố Hương - miền đất tịnh thổ,https://www.youtube.com/watch?v=VBuOMc8Z7B8,Bách Thông,259.0,
/bai-hat-tro-ve-co-huong-mien-dat-tinh-tho/,Bài hát: Trở về Cố Hương – miền đất tịnh thổ,tro ve co huong,https://media.dieukydieu.tv/videos/original/tro-ve-co-huong.mp4,tro ve co huong Pháp Luân Công,,3,MV: Trở về - Sáng tác và thể hiện: Liên Hoa,https://www.youtube.com/watch?v=1P35UhDLN1g,Bách Thông,265.0,
/bay-nua-vong-trai-dat-chi-de-gap-su-phu/,Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,bay nua vong trai dat,https://media.dieukydieu.tv/videos/original/bay-nua-vong-trai-dat.mp4,bay nua vong trai dat Pháp Luân Công,,1,Pháp Luân Công: Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,https://www.youtube.com/watch?v=R-JrAmx7Mdg,Khoa học và Tu luyện,403.0,
/bay-nua-vong-trai-dat-chi-de-gap-su-phu/,Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,bay nua vong trai dat,https://media.dieukydieu.tv/videos/original/bay-nua-vong-trai-dat.mp4,bay nua vong trai dat Pháp Luân Công,,2,"Trần Dần có 11 vợ, từng là phi công trẻ yêu cô giáo đảm đang",https://www.youtube.com/watch?v=DZ0mLr8y3VQ,Nua Vong Trai Dat TV,3766.0,
/bay-nua-vong-trai-dat-chi-de-gap-su-phu/,Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,bay nua vong trai dat,https://media.dieukydieu.tv/videos/original/bay-nua-vong-trai-dat.mp4,bay nua vong trai dat Pháp Luân Công,,3,LIVE: Thấy gì khi VN có 2 tân Thứ trưởng Bộ Ngoại giao? [Đỗ Dzũng x NVTDtv],https://www.youtube.com/watch?v=ow4i6LpQ7_c,Nua Vong Trai Dat TV,1861.0,
/ca-khuc-mong-tinh-loi-viet/,Ca khúc: Mộng Tỉnh – lời việt,mong tinh,https://media.dieukydieu.tv/videos/original/mong-tinh.mp4,mong tinh Pháp Luân Công,,1,Tỉnh mộng | Soprano Min Jiang,https://www.youtube.com/watch?v=p5oeYgXQ2-c,Đắc Pháp TV,241.0,
/ca-khuc-mong-tinh-loi-viet/,Ca khúc: Mộng Tỉnh – lời việt,mong tinh,https://media.dieukydieu.tv/videos/original/mong-tinh.mp4,mong tinh Pháp Luân Công,,2,"Bài hát: Tỉnh Mộng (lời Việt + Trung, thể hiện Liên Hoa)",https://www.youtube.com/watch?v=WClVIde4g2E,Bách Thông,228.0,
/ca-khuc-mong-tinh-loi-viet/,Ca khúc: Mộng Tỉnh – lời việt,mong tinh,https://media.dieukydieu.tv/videos/original/mong-tinh.mp4,mong tinh Pháp Luân Công,,3,Đơn ca nam: Hồng Trần Mộng Tỉnh (Tùng Lâm thể hiện),https://www.youtube.com/watch?v=6Z9fL4xYdUU,Bách Thông,319.0,
/ca-khuc-thien-su-huy-hoang/,Ca khúc: Thiên sử huy hoàng,thien su huy hoang,https://media.dieukydieu.tv/videos/original/thien-su-huy-hoang.mp4,thien su huy hoang Pháp Luân Công,,1,MV sân khấu 4k: Thiên Sử Huy Hoàng - 30 năm Đại Pháp hồng truyền,https://www.youtube.com/watch?v=rLPAeVWvU1M,Bách Thông,318.0,
/ca-khuc-thien-su-huy-hoang/,Ca khúc: Thiên sử huy hoàng,thien su huy hoang,https://media.dieukydieu.tv/videos/original/thien-su-huy-hoang.mp4,thien su huy hoang Pháp Luân Công,,2,Ca khúc: Thiên sử huy hoàng 😇Dậy đi thôi cổng trời đã mở,https://www.youtube.com/watch?v=UQNovEXFt6c,Bách Thông,299.0,
/ca-khuc-thien-su-huy-hoang/,Ca khúc: Thiên sử huy hoàng,thien su huy hoang,https://media.dieukydieu.tv/videos/original/thien-su-huy-hoang.mp4,thien su huy hoang Pháp Luân Công,,3,Thiên sử huy hoàng - Cổng trời khai mở - Âm nhạc Pháp Luân Công,https://www.youtube.com/watch?v=AKPT-p1vUuc,Liang Guang Gang,282.0,
/cac-nghi-sy-hoa-ky-ton-vinh-ngay-phap-luan-dai-phap-the-gioi-13-5-2020/,Các nghị sỹ Hoa Kỳ tôn vinh ngày Pháp Luân Đại Pháp thế giới 13/5/2020,nghi sy hoa ky,https://media.dieukydieu.tv/videos/original/nghi-sy-hoa-ky.mp4,nghi sy hoa ky Pháp Luân Công,,1,Các nghị sĩ Hoa Kỳ tập hợp ủng hộ Pháp Luân Công,https://www.youtube.com/watch?v=c6DT6lIr4vY,Uknow8691,189.0,
/cac-nghi-sy-hoa-ky-ton-vinh-ngay-phap-luan-dai-phap-the-gioi-13-5-2020/,Các nghị sỹ Hoa Kỳ tôn vinh ngày Pháp Luân Đại Pháp thế giới 13/5/2020,nghi sy hoa ky,https://media.dieukydieu.tv/videos/original/nghi-sy-hoa-ky.mp4,nghi sy hoa ky Pháp Luân Công,,2,Các Nghị sỹ Hoa Kỳ chúc mừng ngày Pháp Luân Đại Pháp thế giới 13.5.2020,https://www.youtube.com/watch?v=_oy8qpb05VY,Chân Tướng,261.0,
/cac-nghi-sy-hoa-ky-ton-vinh-ngay-phap-luan-dai-phap-the-gioi-13-5-2020/,Các nghị sỹ Hoa Kỳ tôn vinh ngày Pháp Luân Đại Pháp thế giới 13/5/2020,nghi sy hoa ky,https://media.dieukydieu.tv/videos/original/nghi-sy-hoa-ky.mp4,nghi sy hoa ky Pháp Luân Công,,3,Hoa Kỳ Các Nghị Sỹ Vinh Danh Pháp Luân Đại Pháp,https://www.youtube.com/watch?v=bcaRgOdaslw,TIN TỨC TRUNG THỰC,205.0,
